frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
82,1.366667,176.871094,-42.834560,178.260147,209.410339,48.369656,166.337402,-115.522026,84.656006,111.354439,201.843475,8.683411,253.723358,89.782272,-6.085459,-0.970548,139.986801,46.235935,155.636597,-96.632957,-4.402855,177.832001,77.923523,80.267670,138.414688
83,1.383333,176.863693,-42.829491,178.257050,209.411285,48.370026,166.338165,-169.725067,-75.262192,16.443365,201.747650,8.682041,253.660324,89.776581,-6.084645,-0.971137,139.986725,46.236099,155.636993,85.206688,4.614494,1.664677,77.902199,80.276016,138.461884
84,1.400000,176.861664,-42.821487,178.243362,209.412689,48.370335,166.338486,-169.725250,-75.262215,16.443146,201.654129,8.806506,253.517334,89.779358,-6.083827,-0.972461,139.987534,46.234669,155.636246,-96.633690,-4.394044,177.853622,77.923210,80.269035,138.417694
85,1.416667,176.871155,-42.840820,178.257553,209.411331,48.367981,166.335876,-169.725433,-75.262222,16.442974,201.566742,8.824422,253.437836,89.778038,-6.082539,-0.971203,139.986404,46.236217,155.636856,85.195602,4.620615,1.675712,77.900505,80.272881,138.459259
86,1.433333,176.863464,-42.830189,178.230103,209.413727,48.372211,166.337280,-169.724503,-75.262070,16.443850,201.485031,8.878025,253.325409,89.777191,-6.081500,-0.971832,139.986465,46.235867,155.636795,-96.636604,-4.397821,177.851227,77.922569,80.268700,138.416336
87,1.450000,176.869888,-42.822857,178.242355,209.412720,48.372086,166.338837,-154.518112,-72.387863,29.004082,201.448517,8.928385,253.241684,89.781273,-6.084084,-0.971661,139.986877,46.235291,155.635941,85.188515,4.618364,1.677995,77.900948,80.273392,138.459442
88,1.466667,176.878006,-42.844273,178.265335,209.410934,48.368706,166.336182,-154.517807,-72.387688,29.004341,201.478226,9.141942,253.067688,89.778099,-6.084423,-0.970701,139.987137,46.235256,155.636475,-96.635490,-4.395496,177.853622,77.923019,80.269600,138.416641
89,1.483333,176.858490,-42.831001,178.233932,209.412903,48.371307,166.337280,-154.517899,-72.387703,29.004221,201.521606,9.242336,252.961044,89.780457,-6.082482,-0.972656,139.987320,46.235268,155.636154,85.199501,4.617528,1.670248,77.900398,80.274025,138.460037
90,1.500000,176.855103,-42.825020,178.248505,209.410263,48.371948,166.339111,-154.517334,-72.387489,29.004717,201.614761,9.359303,252.879089,89.777260,-6.083751,-0.971736,139.987350,46.235703,155.635742,-96.648384,-4.397952,177.842194,77.921875,80.267235,138.414948
91,1.516667,176.842438,-42.810658,178.202820,209.415024,48.373894,166.339386,-154.517502,-72.387535,29.004539,201.756882,9.540174,252.775818,89.779800,-6.087359,-0.971730,139.986847,46.235741,155.636124,85.203316,4.612248,1.680073,77.900978,80.275116,138.461609
92,1.533333,176.862793,-42.828465,178.251541,209.410934,48.370136,166.338654,-154.517578,-72.387558,29.004406,201.933411,9.784857,252.649933,89.777313,-6.086064,-0.974134,139.986664,46.236687,155.636337,-96.637878,-4.393442,177.854294,77.922928,80.269051,138.416855
93,1.550000,176.868713,-42.825336,178.251312,209.411758,48.371418,166.338257,-154.517654,-72.387573,29.004299,202.140671,9.972492,252.585892,89.777893,-6.085577,-0.972834,139.986725,46.235836,155.636429,85.195816,4.622246,1.676548,77.900459,80.273369,138.459457
94,1.566667,176.859207,-42.830555,178.243973,209.411331,48.371037,166.338089,-154.517685,-72.387604,29.004198,202.402664,10.149417,252.562927,89.775162,-6.086663,-0.975408,139.987076,46.236565,155.636627,-96.638329,-4.397560,177.855301,77.922348,80.268173,138.416748
95,1.583333,176.859436,-42.824863,178.242538,209.412125,48.371338,166.337769,-154.517731,-72.387672,29.004091,202.683716,10.414618,252.504440,89.775131,-6.086336,-0.974654,139.986740,46.236046,155.636124,85.206398,4.616321,1.674595,77.901917,80.274498,138.461151
96,1.600000,176.872620,-42.832668,178.264877,209.410049,48.371040,166.338928,-154.991562,-72.294006,28.355009,202.996445,10.567628,252.556656,89.775940,-6.088081,-0.977208,139.986771,46.235420,155.635956,-96.641907,-4.397107,177.855438,77.922119,80.268005,138.415955
