frame,time,spm0_rotX,spm0_rotY,spm0_rotZ,spm0_posX,spm0_posY,spm0_posZ,cf_rotX,cf_rotY,cf_rotZ,cf_posX,cf_posY,cf_posZ,spm1_rotX,spm1_rotY,spm1_rotZ,spm1_posX,spm1_posY,spm1_posZ,spm2_rotX,spm2_rotY,spm2_rotZ,spm2_posX,spm2_posY,spm2_posZ
71,1.183333,-1.238499,-54.713158,0.029811,182.842834,50.175190,294.420227,176.043777,8.493913,-178.653442,75.983849,7.100666,225.347214,88.120674,-5.794170,-9.191836,103.469147,45.854778,155.429352,-87.512245,2.318847,-93.976486,11.288007,64.442490,221.375397
72,1.200000,-1.263814,-54.746372,0.012084,182.842758,50.172138,294.428009,176.043747,8.493945,-178.653519,75.983566,7.105112,225.342377,88.135605,-5.808595,-9.201767,103.468796,45.855976,155.431732,92.340988,-2.944671,-84.843613,11.572202,64.420357,221.432526
73,1.216667,-1.371811,-54.634556,-0.062856,182.854279,50.184460,294.417023,176.043686,8.493961,-178.653549,75.983376,7.107043,225.337357,88.448372,4.467150,170.813553,103.382813,45.853020,155.546249,-87.509827,2.331471,-93.950546,11.285555,64.442039,221.374588
74,1.233333,-1.293040,-54.742702,-0.021065,182.843399,50.172501,294.427765,176.043686,8.493961,-178.653549,75.983376,7.107043,225.337357,88.136581,-5.799969,-9.172709,103.469429,45.857151,155.431381,92.343117,-2.933446,-84.853424,11.570983,64.421425,221.431595
75,1.250000,-1.265699,-54.734451,0.005209,182.842529,50.171894,294.428558,176.043640,8.493987,-178.653564,75.982445,7.106495,225.348587,88.044693,-5.768336,-9.198727,103.466667,45.840919,155.424683,-87.510109,2.324816,-93.971123,11.286953,64.442200,221.375397
76,1.266667,-1.300617,-54.743958,-0.028944,182.843262,50.173672,294.427917,176.043625,8.494021,-178.653595,75.980148,7.114935,225.350311,88.119637,-5.793844,-9.177830,103.470230,45.858501,155.432938,92.338188,-2.890883,-84.909859,11.563644,64.420357,221.431976
77,1.283333,-1.446331,-54.675350,-0.129661,182.853363,50.182552,294.424469,176.043640,8.494003,-178.653610,75.979195,7.120252,225.363708,88.462669,4.467980,170.789246,103.382874,45.850906,155.545120,-87.514084,2.338011,-93.945206,11.283794,64.441147,221.375732
78,1.300000,-1.273675,-54.742496,-0.000727,182.840973,50.174259,294.428528,176.043640,8.494102,-178.653641,75.978912,7.126355,225.388092,88.600975,-5.955890,-8.681033,103.404984,45.891087,155.407959,92.345535,-2.941119,-84.841156,11.573089,64.421394,221.431564
79,1.316667,-1.237938,-54.707561,0.030635,182.843826,50.175083,294.420807,176.043671,8.494228,-178.653687,75.975327,7.142639,225.414902,88.416771,4.495438,170.818466,103.379265,45.849258,155.542130,-87.514427,2.340612,-93.938660,11.283875,64.440895,221.375412
80,1.333333,-1.230359,-54.715191,0.045531,182.843048,50.174820,294.421387,176.043747,8.494390,-178.653717,75.970139,7.182002,225.447220,88.410637,4.514010,170.773117,103.375565,45.851448,155.541183,92.350693,-2.917723,-84.868095,11.569695,64.420860,221.431686
81,1.350000,-1.213490,-54.710979,0.055309,182.841888,50.174015,294.421875,176.043854,8.494560,-178.653793,75.955124,7.228804,225.491684,88.129761,-5.802342,-9.189401,103.469017,45.856056,155.431702,-87.513000,2.332985,-93.966217,11.286777,64.442421,221.374847
